Source.Name,Selected,Order Nbr.,Order Type,Customer Order Nbr.,Related Order Nbr,Status,Ship Via,Date,Sched. Shipment,Customer,Customer Name,Product,Location Name,Payment Ref.,Ordered Qty.,Order Total,Created On,Est. Margin (%),Priority,Warehouse ID,Account Name,Location Name_1,Ship From City,Account Name_2,Location Name_3,Ship To City,Required By,Shipments,Shipments - Open,Line Item,UOM,SOLine_unitCost,SOOrder_detailExtPriceTotal,Unit Price,Ext. Price,Truck Rate,Truck Rate UOM,Date modified,Terminal Key,Shipments Remaining
Sales Orders 20260326 Kress.csv,False,FO0003457,FO,WO 20260125_CRANE,WO0002099,Open,DND,26-Jan-26,26-Jan-26,LOG-KRE,Kress Terminal Logistics,Road Salt ASTM Type I Bulk,Kress Terminal Warehouse,,8,0,26-Jan-26,0,0,,Kress Terminal Logistics,Kress Terminal Warehouse,"KRESS, TX",TxDOT Odessa District,Crane,Crane,1/28/2026,0,0,Single Truck Load,LOAD,0,0,0,0,77.18,TN,3/26/2026 8:47,"KRESS, TX",8
Sales Orders 20260326 Kress.csv,False,FO0003998,FO,WO# CO1,WO0003871,Open,DND,5-Mar-26,5-Mar-26,LOG-KRE,Kress Terminal Logistics,Brine Salt Type II Bulk,Kress Terminal Warehouse,,4,0,5-Mar-26,0,0,,Kress Terminal Logistics,Kress Terminal Warehouse,"KRESS, TX",TxDOT El Paso District,"West El Paso MO - El Paso, TX",El Paso,3/19/2026,0,0,Single Truck Load,LOAD,0,0,0,0,48.23,TN,3/26/2026 8:47,"KRESS, TX",4
Sales Orders 20260326 Kress.csv,False,FO0003958,FO,WO# CO1,WO0003854,Open,DND,29-Jan-26,29-Jan-26,LOG-KRE,Kress Terminal Logistics,Road Salt ASTM Type I Bulk,Kress Terminal Warehouse,,4,0,26-Feb-26,0,0,,Kress Terminal Logistics,Kress Terminal Warehouse,"KRESS, TX",TxDOT Odessa District,Sanderson,Sanderson,2/12/2026,0,0,Single Truck Load,LOAD,0,0,0,0,145.78,TN,3/26/2026 8:47,"KRESS, TX",4
Sales Orders 20260326 Kress.csv,False,FO0003957,FO,WO# CO1,WO0003851,Open,DND,29-Jan-26,29-Jan-26,LOG-KRE,Kress Terminal Logistics,Ice Slicer Elite Supersack 2500#,Kress Terminal Warehouse,,1,0,26-Feb-26,0,0,,Kress Terminal Logistics,Kress Terminal Warehouse,"KRESS, TX",TxDOT Odessa District,Iraan,Iraan,2/12/2026,0,0,Single Truck Load,LOAD,0,0,0,0,108.8,TN,3/26/2026 8:47,"KRESS, TX",1
Sales Orders 20260326 Kress.csv,False,FO0003956,FO,WO# CO1,WO0003848,Back Order,DND,29-Jan-26,29-Jan-26,LOG-KRE,Kress Terminal Logistics,Road Salt ASTM Type I Bulk,Kress Terminal Warehouse,,36,0,26-Feb-26,0,0,,Kress Terminal Logistics,Kress Terminal Warehouse,"KRESS, TX",TxDOT Odessa District,Fort Stockton,Fort Stockton,2/12/2026,31,0,Single Truck Load,LOAD,0,0,0,0,118.58,TN,3/26/2026 8:47,"KRESS, TX",5
Sales Orders 20260326 Kress.csv,False,FO0003955,FO,WO# CO1,WO0003845,Open,DND,29-Jan-26,29-Jan-26,LOG-KRE,Kress Terminal Logistics,Road Salt ASTM Type I Bulk,Kress Terminal Warehouse,,16,0,26-Feb-26,0,0,,Kress Terminal Logistics,Kress Terminal Warehouse,"KRESS, TX",TxDOT Odessa District,Reeves Station,Toyah,2/12/2026,0,0,Single Truck Load,LOAD,0,0,0,0,123.25,TN,3/26/2026 8:47,"KRESS, TX",16
Sales Orders 20260326 Kress.csv,False,FO0003953,FO,WO# CO1,WO0003839,Back Order,DND,29-Jan-26,29-Jan-26,LOG-KRE,Kress Terminal Logistics,Road Salt ASTM Type I Bulk,Kress Terminal Warehouse,,10,0,26-Feb-26,0,0,,Kress Terminal Logistics,Kress Terminal Warehouse,"KRESS, TX",TxDOT Odessa District,Pecos Main Office,Pecos,2/12/2026,4,0,Single Truck Load,LOAD,0,0,0,0,115.18,TN,3/26/2026 8:47,"KRESS, TX",6
Sales Orders 20260326 Kress.csv,False,FO0003952,FO,WO# CO1,WO0003836,Back Order,DND,29-Jan-26,29-Jan-26,LOG-KRE,Kress Terminal Logistics,Ice Slicer Elite Bulk,Kress Terminal Warehouse,,10,0,26-Feb-26,0,0,,Kress Terminal Logistics,Kress Terminal Warehouse,"KRESS, TX",TxDOT Odessa District,Stanton,Stanton,2/12/2026,8,0,Single Truck Load,LOAD,0,0,0,0,68.85,TN,3/26/2026 8:47,"KRESS, TX",2
Sales Orders 20260326 Kress.csv,False,FO0003951,FO,WO# CO1,WO0003833,Back Order,DND,29-Jan-26,29-Jan-26,LOG-KRE,Kress Terminal Logistics,Ice Slicer Elite Bulk,Kress Terminal Warehouse,,10,0,26-Feb-26,0,0,,Kress Terminal Logistics,Kress Terminal Warehouse,"KRESS, TX",TxDOT Odessa District,Midland,Midland,2/12/2026,3,0,Single Truck Load,LOAD,0,0,0,0,77.35,TN,3/26/2026 8:47,"KRESS, TX",7
Sales Orders 20260326 Kress.csv,False,FO0003950,FO,WO# CO1,WO0003830,Open,DND,29-Jan-26,29-Jan-26,LOG-KRE,Kress Terminal Logistics,Ice Slicer Elite Supersack 2500#,Kress Terminal Warehouse,,3,0,26-Feb-26,0,0,,Kress Terminal Logistics,Kress Terminal Warehouse,"KRESS, TX",TxDOT Odessa District,McCamey,McCamey,2/12/2026,0,0,Single Truck Load,LOAD,0,0,0,0,105.83,TN,3/26/2026 8:47,"KRESS, TX",3
Sales Orders 20260326 Kress.csv,False,FO0003460,FO,EX WO 20260125_CRANE,WO0001979,Open,DND,26-Jan-26,26-Jan-26,LOG-KRE,Kress Terminal Logistics,Ice Slicer Elite Supersack 2500#,Kress Terminal Warehouse,,1,0,26-Jan-26,0,0,,Kress Terminal Logistics,Kress Terminal Warehouse,"KRESS, TX",TxDOT Odessa District,Crane,Crane,1/28/2026,0,0,Single Truck Load,LOAD,0,0,0,0,77.18,TN,3/26/2026 8:47,"KRESS, TX",1
Sales Orders 20260326 Kress.csv,False,FO0003948,FO,WO# CO1,WO0003824,Open,DND,29-Jan-26,29-Jan-26,LOG-KRE,Kress Terminal Logistics,Ice Slicer Elite Bulk,Kress Terminal Warehouse,,6,0,26-Feb-26,0,0,,Kress Terminal Logistics,Kress Terminal Warehouse,"KRESS, TX",TxDOT Odessa District,Odessa,Odessa,2/12/2026,0,0,Single Truck Load,LOAD,0,0,0,0,64.6,TN,3/26/2026 8:47,"KRESS, TX",6
Sales Orders 20260326 Kress.csv,False,FO0003947,FO,WO# CO1,WO0003821,Open,DND,29-Jan-26,29-Jan-26,LOG-KRE,Kress Terminal Logistics,Ice Slicer Elite Bulk,Kress Terminal Warehouse,,6,0,26-Feb-26,0,0,,Kress Terminal Logistics,Kress Terminal Warehouse,"KRESS, TX",TxDOT Odessa District,Monahans,Monahans,2/12/2026,3,0,Single Truck Load,LOAD,0,0,0,0,79.56,TN,3/26/2026 8:47,"KRESS, TX",3
Sales Orders 20260326 Kress.csv,False,FO0003946,FO,WO# CO1,WO0003818,Back Order,DND,29-Jan-26,29-Jan-26,LOG-KRE,Kress Terminal Logistics,Ice Slicer Elite Bulk,Kress Terminal Warehouse,,8,0,26-Feb-26,0,0,,Kress Terminal Logistics,Kress Terminal Warehouse,"KRESS, TX",TxDOT Odessa District,Kermit,Kermit,2/12/2026,4,0,Single Truck Load,LOAD,0,0,0,0,74.12,TN,3/26/2026 8:47,"KRESS, TX",4
Sales Orders 20260326 Kress.csv,False,FO0003938,FO,WO# 04314-3,WO0003792,Back Order,DND,26-Jan-26,26-Jan-26,LOG-KRE,Kress Terminal Logistics,Road Salt ASTM Type I Bulk,Kress Terminal Warehouse,,4,0,25-Feb-26,0,0,,Kress Terminal Logistics,Kress Terminal Warehouse,"KRESS, TX",TxDOT Amarillo District,"Perryton MO - 1103 W SH 15, Perryton",Perryton,2/9/2026,3,0,Single Truck Load,LOAD,0,0,0,0,48.96,TN,3/26/2026 8:47,"KRESS, TX",1
Sales Orders 20260326 Kress.csv,False,FO0003881,FO,EXP WO# SBNE3-25002,WO0003658,Back Order,DND,27-Jan-26,27-Jan-26,LOG-KRE,Kress Terminal Logistics,Brine Salt Type II Bulk,Kress Terminal Warehouse,,16,0,20-Feb-26,0,0,,Kress Terminal Logistics,Kress Terminal Warehouse,"KRESS, TX",TxDOT - North East Region,Gainesville Maintenance Office,Gainesville,1/29/2026,12,0,Single Truck Load,LOAD,0,0,0,0,20.19,TN,3/26/2026 8:47,"KRESS, TX",4
Sales Orders 20260326 Kress.csv,False,FO0003880,FO,07-003,WO0003655,Open,DND,2-Feb-26,2-Feb-26,LOG-KRE,Kress Terminal Logistics,Brine Salt Type II Supersack 2000#,Kress Terminal Warehouse,,2,0,20-Feb-26,0,0,,Kress Terminal Logistics,Kress Terminal Warehouse,"KRESS, TX",TxDOT Wichita Falls District,Seymour,Seymour,2/12/2026,0,0,Single Truck Load,LOAD,0,0,0,0,38.51,TN,3/26/2026 8:47,"KRESS, TX",2
